=== Training Log Started ===
Configurations: Namespace(data_root='/mnt/afs/250010063/AP0004_Midterm/data', save_path='/mnt/afs/250010063/AP0004_Midterm/results', exp='Transformer_batch120', d_model=256, n_head=8, n_layers=3, ffn_dim=1024, dropout=0.33, norm_type='layernorm', pos_type='learnable', resume='', batch_size=120, lr=0.0008, epochs=50, clip=1.0, seed=42)
Using device: cuda
Model initialized with 24,743,010 trainable parameters
Epoch0, Iter [1/834] | Loss: 9.7795
Epoch0, Iter [2/834] | Loss: 9.7604
Epoch0, Iter [3/834] | Loss: 9.7376
Epoch0, Iter [4/834] | Loss: 9.7053
Epoch0, Iter [5/834] | Loss: 9.6910
Epoch0, Iter [6/834] | Loss: 9.6804
Epoch0, Iter [7/834] | Loss: 9.6632
Epoch0, Iter [8/834] | Loss: 9.6327
Epoch0, Iter [9/834] | Loss: 9.6250
Epoch0, Iter [10/834] | Loss: 9.5988
Epoch0, Iter [11/834] | Loss: 9.5879
Epoch0, Iter [12/834] | Loss: 9.5651
Epoch0, Iter [13/834] | Loss: 9.5553
Epoch0, Iter [14/834] | Loss: 9.5245
Epoch0, Iter [15/834] | Loss: 9.5050
Epoch0, Iter [16/834] | Loss: 9.4913
Epoch0, Iter [17/834] | Loss: 9.4808
Epoch0, Iter [18/834] | Loss: 9.4583
Epoch0, Iter [19/834] | Loss: 9.4256
Epoch0, Iter [20/834] | Loss: 9.4172
Epoch0, Iter [21/834] | Loss: 9.4069
Epoch0, Iter [22/834] | Loss: 9.3758
Epoch0, Iter [23/834] | Loss: 9.3679
Epoch0, Iter [24/834] | Loss: 9.3476
Epoch0, Iter [25/834] | Loss: 9.3356
Epoch0, Iter [26/834] | Loss: 9.3259
Epoch0, Iter [27/834] | Loss: 9.2926
Epoch0, Iter [28/834] | Loss: 9.2645
Epoch0, Iter [29/834] | Loss: 9.2625
Epoch0, Iter [30/834] | Loss: 9.2421
Epoch0, Iter [31/834] | Loss: 9.2436
Epoch0, Iter [32/834] | Loss: 9.1924
Epoch0, Iter [33/834] | Loss: 9.1705
Epoch0, Iter [34/834] | Loss: 9.1685
Epoch0, Iter [35/834] | Loss: 9.1272
Epoch0, Iter [36/834] | Loss: 9.1055
Epoch0, Iter [37/834] | Loss: 9.0691
Epoch0, Iter [38/834] | Loss: 9.0744
Epoch0, Iter [39/834] | Loss: 9.0200
Epoch0, Iter [40/834] | Loss: 9.0247
Epoch0, Iter [41/834] | Loss: 8.9718
Epoch0, Iter [42/834] | Loss: 8.9671
Epoch0, Iter [43/834] | Loss: 8.9199
Epoch0, Iter [44/834] | Loss: 8.9077
Epoch0, Iter [45/834] | Loss: 8.8817
Epoch0, Iter [46/834] | Loss: 8.8801
Epoch0, Iter [47/834] | Loss: 8.8482
Epoch0, Iter [48/834] | Loss: 8.8075
Epoch0, Iter [49/834] | Loss: 8.8198
Epoch0, Iter [50/834] | Loss: 8.7426
Epoch0, Iter [51/834] | Loss: 8.7213
Epoch0, Iter [52/834] | Loss: 8.7039
Epoch0, Iter [53/834] | Loss: 8.6552
Epoch0, Iter [54/834] | Loss: 8.6413
Epoch0, Iter [55/834] | Loss: 8.5961
Epoch0, Iter [56/834] | Loss: 8.5627
Epoch0, Iter [57/834] | Loss: 8.5276
Epoch0, Iter [58/834] | Loss: 8.5374
Epoch0, Iter [59/834] | Loss: 8.5130
Epoch0, Iter [60/834] | Loss: 8.4188
Epoch0, Iter [61/834] | Loss: 8.3842
Epoch0, Iter [62/834] | Loss: 8.4285
Epoch0, Iter [63/834] | Loss: 8.4513
Epoch0, Iter [64/834] | Loss: 8.3229
Epoch0, Iter [65/834] | Loss: 8.3317
Epoch0, Iter [66/834] | Loss: 8.3098
Epoch0, Iter [67/834] | Loss: 8.2521
Epoch0, Iter [68/834] | Loss: 8.2293
